year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05230258  20.090440      0.552  5.9417e+04     0.2313    677.22   -652.71   -130.31    127.09   -5.683    3.617    0.778
2005 2005.05230461  20.091181      0.640  5.9889e+04     0.2670    671.92   -650.14   -137.07    102.03   -5.344    3.912    1.585
2005 2005.05230663  20.091921      0.471  5.8263e+04     0.1915    697.27   -675.93   -149.07     85.89   -4.842    4.380    2.009
2005 2005.05230866  20.092662      0.560  6.2908e+04     0.2109    685.16   -663.07   -142.85     98.80   -4.938    3.912    2.307
2005 2005.05231069  20.093403      0.518  6.7720e+04     0.1746    683.84   -660.66   -146.04    101.11   -4.917    3.765    2.187
2005 2005.05231272  20.094144      0.594  1.0116e+05     0.1826    673.69   -659.19   -126.97     58.16   -4.808    3.231    3.001
2005 2005.05231475  20.094884      0.507  8.3995e+04     0.1776    669.50   -652.04   -135.46     70.44   -4.432    3.049    3.616
2005 2005.05231678  20.095625      0.366  5.6746e+04     0.2213    662.35   -649.06   -116.42     63.97   -4.597    2.947    3.389
2005 2005.05231881  20.096366      0.512  7.8703e+04     0.1520    666.01   -647.05   -140.50     73.43   -4.233    2.713    3.915
2005 2005.05232084  20.097107      0.409  6.6570e+04     0.2553    655.80   -638.05   -132.32     75.60   -4.294    2.556    3.783
2005 2005.05232287  20.097847      0.474  1.1232e+05     0.1277    666.00   -648.63   -124.51     87.55   -4.386    2.509    3.531
2005 2005.05232490  20.098588  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -4.168    2.692    3.454
2005 2005.05232693  20.099329      0.427  1.3709e+05     0.1945    671.25   -651.28   -132.54     96.07   -3.934    2.295    3.642
2005 2005.05232896  20.100070      0.316  1.5209e+05     0.2239    663.99   -644.88   -129.61     92.63   -4.006    2.290    3.827
2005 2005.05233099  20.100810      0.216  1.8591e+05     0.2091    656.57   -641.49   -120.31     73.32   -3.953    1.896    4.268
2005 2005.05233302  20.101551      0.437  4.6899e+04     0.0940    716.26   -716.17     -2.18     14.19   -1.674    1.394    5.336
2005 2005.05233505  20.102292      0.285  9.8194e+04     0.1670    729.01   -725.46    -71.27      4.75   -1.619    0.279    5.580
2005 2005.05233708  20.103033      0.355  6.0342e+04     0.1286    657.04   -654.64    -52.37     21.77   -2.983    0.607    5.140
2005 2005.05233910  20.103773      0.401  6.9079e+04     0.1239    672.79   -671.71    -36.91      9.71   -2.705   -0.635    5.374
2005 2005.05234113  20.104514      0.290  6.0060e+04     0.1617    674.29   -672.18    -52.33      8.64   -3.094    0.514    5.146
2005 2005.05234316  20.105255      0.267  6.8241e+04     0.2378    653.10   -643.42   -101.55     48.96   -3.809    1.399    4.571
2005 2005.05234519  20.105996      0.247  5.9925e+04     0.3113    654.26   -643.37   -114.46     32.78   -2.700    1.147    5.118
2005 2005.05234722  20.106736  -9999.900  5.9621e+04 -9999.9004    697.48   -691.67    -88.30     15.49   -1.783    0.084    5.899
2005 2005.05234925  20.107477      0.232  9.3688e+04     0.2499    673.80   -665.78   -102.05     16.78   -1.980    0.473    5.754
